Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2864e+03     7.2336e-02         7.57       1.000           0.0
   2      1.7128e+03     7.2849e-02        10.18       1.000           1.7
   3      2.2806e+03     7.3774e-02        13.52       1.000           2.8
   4      3.0367e+03     7.5497e-02        17.84       0.999           3.8
   5      4.0433e+03     7.8534e-02        23.12       0.999           4.9
   6      5.3837e+03     8.3493e-02        29.46       1.000           6.0
   7      7.1684e+03     9.1643e-02        36.48       0.999           7.0
   8      9.5446e+03     1.0414e-01        43.78       0.999           8.1
   9      1.2709e+04     1.2243e-01        50.77       0.999           9.1
  10      1.6922e+04     1.4839e-01        57.06       0.999          10.2
  11      2.2531e+04     1.8411e-01        62.30       0.999          11.3
  12      3.0000e+04     2.3163e-01        67.03       1.000          12.5
  13      2.2531e+04     1.8406e-01        62.63       0.998          13.6
  14      1.6922e+04     1.4865e-01        57.06       0.999          14.8
  15      1.2709e+04     1.2251e-01        50.77       0.999          16.0
  16      9.5446e+03     1.0409e-01        43.80       1.000          17.1
  17      7.1684e+03     9.1535e-02        36.48       1.000          18.1
  18      5.3837e+03     8.3531e-02        29.38       1.000          19.2
  19      4.0433e+03     7.8459e-02        23.10       0.999          20.3
  20      3.0367e+03     7.5534e-02        17.87       1.000          21.3
  21      2.2806e+03     7.3795e-02        13.54       1.000          22.4
  22      1.7128e+03     7.2820e-02        10.19       1.000          23.5
  23      1.2864e+03     7.2357e-02         7.59       1.000          24.5
  24      9.6613e+02     7.2105e-02         5.65       1.000          25.5
  25      7.2560e+02     7.1994e-02         4.13       1.000          26.6
  26      5.4495e+02     7.1935e-02         2.94       1.000          27.7
  27      4.0928e+02     7.1952e-02         1.72       0.999          29.5
  28      3.0738e+02     7.1957e-02         1.23       1.000          31.5
  29      2.3085e+02     7.2336e-02         0.51       0.998          33.1
  30      1.7338e+02     7.2573e-02         0.15       0.999          34.6
  31      1.3021e+02     7.2254e-02        -0.06       0.999          36.2
  32      9.7794e+01     7.2415e-02        -0.50       0.999          37.9
  33      7.3447e+01     7.2891e-02        -0.91       1.000          39.6
  34      5.4991e+01     7.3029e-02        -1.06       1.000          41.4
  35      4.0675e+01     7.3373e-02        -1.16       0.999          43.2
  36      2.9692e+01     7.3494e-02        -1.44       0.999          45.3
  37      2.1366e+01     7.4158e-02        -1.60       1.000          47.5
  38      1.5137e+01     7.4812e-02        -2.02       0.999          50.0
  39      1.0545e+01     7.4863e-02        -2.17       1.000          52.8
  40      7.2118e+00     7.5194e-02        -2.63       0.999          56.2
  41      4.8357e+00     7.6550e-02        -2.67       0.999          60.2
  42      3.1743e+00     7.7707e-02        -4.42       0.998          65.4
  43      2.0373e+00     7.9962e-02        -3.57       0.998          72.1
  44      1.2772e+00     8.1893e-02        -4.93       1.000          82.6
  45      7.8169e-01     8.4968e-02        -4.81       1.000          96.2
  46      4.6733e-01     8.7633e-02        -4.38       1.000         116.4
  47      2.7337e-01     8.9625e-02        -3.61       1.000         143.4
  48      1.5697e-01     9.1043e-02        -3.33       1.000         182.8
  49      8.8914e-02     9.3043e-02        -2.93       1.000         234.9
  50      5.0000e-02     9.3747e-02        -3.34       1.000         299.8

