File.......:  nimh1-1320-1 - AUG,02.2023

System.....:  NiMH1 2000mAh
Potential..:  1.321V
Current....:  -3.3965mA
Temperature:  -0.5 +-0.0 C
Time.......:  10:27:16 - 10:32:23
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
  1       1.2864e+03     7.3548e-02         7.46       1.000           0.0
  2       1.7128e+03     7.4050e-02        10.03       1.000           2.6
  3       2.2806e+03     7.4987e-02        13.34       1.000           3.2
  4       3.0367e+03     7.6687e-02        17.59       1.000           3.8
  5       4.0433e+03     7.9614e-02        22.79       1.000           4.3
  6       5.3837e+03     8.4563e-02        29.01       1.000           4.9
  7       7.1684e+03     9.2561e-02        36.01       1.000           5.4
  8       9.5446e+03     1.0496e-01        43.36       0.999           6.0
  9       1.2709e+04     1.2325e-01        50.41       0.999           6.5
 10       1.6922e+04     1.4917e-01        56.74       0.999           7.1
 11       2.2531e+04     1.8460e-01        62.13       0.999           7.7
 12       3.0000e+04     2.3205e-01        66.63       1.000           8.2
 13       2.2531e+04     1.8460e-01        62.13       0.999           8.8
 14       1.6922e+04     1.4916e-01        56.75       0.999           9.3
 15       1.2709e+04     1.2323e-01        50.42       1.000           9.9
 16       9.5446e+03     1.0496e-01        43.37       0.999          10.4
 17       7.1684e+03     9.2540e-02        36.02       0.999          11.0
 18       5.3837e+03     8.4545e-02        29.02       0.999          11.5
 19       4.0433e+03     7.9585e-02        22.80       1.000          12.1
 20       3.0367e+03     7.6657e-02        17.59       1.000          12.7
 21       2.2806e+03     7.4952e-02        13.34       1.000          13.2
 22       1.7128e+03     7.4016e-02        10.03       1.000          13.8
 23       1.2864e+03     7.3516e-02         7.46       1.000          14.4
 24       9.6613e+02     7.3280e-02         5.54       1.000          14.9
 25       7.2560e+02     7.3184e-02         4.04       1.000          15.4
 26       5.4495e+02     7.3166e-02         2.89       1.000          16.0
 27       4.0928e+02     7.3149e-02         1.73       1.000          16.6
 28       3.0738e+02     7.3246e-02         1.11       1.000          17.1
 29       2.3085e+02     7.3342e-02         0.57       1.000          17.6
 30       1.7338e+02     7.3462e-02         0.15       1.000          18.2
 31       1.3021e+02     7.3628e-02        -0.13       1.000          18.7
 32       9.7794e+01     7.3755e-02        -0.52       1.000          19.4
 33       7.3447e+01     7.3943e-02        -0.73       1.000          20.0
 34       5.4991e+01     7.4169e-02        -0.85       1.000          21.5
 35       4.0675e+01     7.4417e-02        -1.06       1.000          23.4
 36       2.9692e+01     7.4725e-02        -1.32       1.000          25.0
 37       2.1366e+01     7.5124e-02        -1.58       1.000          26.7
 38       1.5137e+01     7.5565e-02        -1.85       1.000          28.7
 39       1.0545e+01     7.6138e-02        -2.18       1.000          31.0
 40       7.2118e+00     7.6758e-02        -2.81       1.000          33.8
 41       4.8357e+00     7.7659e-02        -3.00       1.000          37.4
 42       3.1743e+00     7.8802e-02        -3.64       1.000          42.1
 43       2.0373e+00     8.0573e-02        -4.13       1.000          48.3
 44       1.2772e+00     8.2916e-02        -4.65       1.000          58.0
 45       7.8169e-01     8.5621e-02        -4.49       1.000          71.1
 46       4.6733e-01     8.8046e-02        -4.03       1.000          90.8
 47       2.7337e-01     8.9895e-02        -3.40       1.000         130.0
 48       1.5697e-01     9.1240e-02        -3.09       1.000         168.9
 49       8.8914e-02     9.2467e-02        -3.06       1.000         220.4
 50       5.0000e-02     9.3830e-02        -3.40       1.000         284.8

