File.......:  nimh3-0100-3 - AUG,02.2023

System.....:  NiMH3 2000mAh
Potential..:  1.373V
Current....:  100.13mA
Temperature:  -0.6 +-0.0 C
Time.......:  13:20:05 - 13:25:23
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2864e+03     7.2968e-02         7.66       0.999           0.0
   2      1.7128e+03     7.3635e-02        10.28       1.000           1.6
   3      2.2806e+03     7.4590e-02        13.59       1.000           2.6
   4      3.0367e+03     7.6237e-02        17.96       0.999           3.6
   5      4.0433e+03     7.9468e-02        23.26       1.000           4.6
   6      5.3837e+03     8.4504e-02        29.48       0.999           5.7
   7      7.1684e+03     9.2688e-02        36.56       1.000           6.7
   8      9.5446e+03     1.0562e-01        44.10       0.996           7.8
   9      1.2709e+04     1.2410e-01        50.91       0.998           8.9
  10      1.6922e+04     1.5098e-01        57.30       0.994          10.0
  11      2.2531e+04     1.8633e-01        62.53       0.998          11.1
  12      3.0000e+04     2.3455e-01        66.90       0.996          12.1
  13      2.2531e+04     1.8685e-01        62.53       0.998          13.1
  14      1.6922e+04     1.5078e-01        57.27       0.999          14.2
  15      1.2709e+04     1.2417e-01        50.99       0.999          15.3
  16      9.5446e+03     1.0539e-01        43.80       0.996          16.3
  17      7.1684e+03     9.2967e-02        36.62       1.000          17.4
  18      5.3837e+03     8.4613e-02        29.58       0.999          18.5
  19      4.0433e+03     7.9479e-02        23.23       0.999          19.6
  20      3.0367e+03     7.6200e-02        18.00       1.000          20.6
  21      2.2806e+03     7.4427e-02        13.69       1.000          21.6
  22      1.7128e+03     7.3448e-02        10.27       1.000          22.6
  23      1.2864e+03     7.2951e-02         7.58       1.000          23.6
  24      9.6613e+02     7.2600e-02         5.58       1.000          24.5
  25      7.2560e+02     7.2816e-02         4.11       1.000          25.5
  26      5.4495e+02     7.2650e-02         2.88       1.000          26.5
  27      4.0928e+02     7.3005e-02         1.69       0.999          28.2
  28      3.0738e+02     7.3007e-02         1.32       0.999          30.2
  29      2.3085e+02     7.2924e-02         0.69       0.998          31.7
  30      1.7338e+02     7.3172e-02         0.28       0.998          33.2
  31      1.3021e+02     7.2822e-02        -0.41       0.998          34.7
  32      9.7794e+01     7.3278e-02        -0.96       0.999          36.3
  33      7.3447e+01     7.3844e-02        -0.26       0.998          37.9
  34      5.4991e+01     7.3927e-02        -0.95       0.999          39.7
  35      4.0675e+01     7.3857e-02        -1.38       0.999          41.5
  36      2.9692e+01     7.4112e-02        -1.29       1.000          43.5
  37      2.1366e+01     7.4468e-02        -1.60       0.999          45.6
  38      1.5137e+01     7.4956e-02        -2.15       0.998          48.0
  39      1.0545e+01     7.6226e-02        -2.43       0.998          50.8
  40      7.2118e+00     7.7028e-02        -3.04       0.999          54.1
  41      4.8357e+00     7.7392e-02        -3.65       0.999          58.1
  42      3.1743e+00     7.9730e-02        -3.92       0.998          63.2
  43      2.0373e+00     7.9503e-02        -3.48       0.996          69.8
  44      1.2772e+00     8.2907e-02        -4.89       1.000          80.2
  45      7.8169e-01     8.5942e-02        -4.63       1.000          93.7
  46      4.6733e-01     8.8561e-02        -4.54       0.999         113.9
  47      2.7337e-01     9.0034e-02        -3.97       0.999         140.8
  48      1.5697e-01     9.1574e-02        -3.31       0.997         180.2
  49      8.8914e-02     9.4313e-02        -2.90       0.998         232.2
  50      5.0000e-02     9.3649e-02        -4.00       0.994         297.0

