File.......:  nimh4-0100-1 - AUG,07.2023

System.....:  NiMH 4 2000mAh
Potential..:  1.344V
Current....:  99.742mA
Temperature:  -0.6 +-0.1 C
Time.......:  12:58:21 - 13:01:59
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   58
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.1000e+03     6.8557e-02         6.29       1.000           0.0
   2      1.4582e+03     6.8954e-02         8.42       1.000           1.8
   3      1.9329e+03     6.9508e-02        11.30       1.000           2.8
   4      2.5623e+03     7.0643e-02        14.94       1.000           3.8
   5      3.3966e+03     7.2603e-02        19.53       1.000           4.9
   6      4.5025e+03     7.5924e-02        24.97       1.000           5.9
   7      5.9686e+03     8.1493e-02        31.47       0.999           7.0
   8      7.9119e+03     9.0259e-02        38.47       0.999           8.1
   9      1.0488e+04     1.0335e-01        45.52       0.999           9.2
  10      1.3903e+04     1.2228e-01        52.21       0.999          10.2
  11      1.8430e+04     1.4855e-01        57.98       0.999          11.3
  12      2.4431e+04     1.8404e-01        62.99       1.000          12.3
  13      3.2385e+04     2.3062e-01        67.26       0.999          13.5
  14      4.2930e+04     2.9149e-01        70.66       0.999          14.7
  15      5.6908e+04     3.7121e-01        73.54       0.999          15.8
  16      7.5437e+04     4.7578e-01        76.07       0.999          16.8
  17      1.0000e+05     6.1382e-01        77.83       0.999          17.9
  18      7.5437e+04     4.7605e-01        75.93       0.999          18.9
  19      5.6908e+04     3.7098e-01        73.48       0.999          20.0
  20      4.2930e+04     2.9097e-01        70.64       0.999          21.0
  21      3.2385e+04     2.2989e-01        67.20       1.000          22.1
  22      2.4431e+04     1.8386e-01        63.22       0.999          23.2
  23      1.8430e+04     1.4847e-01        58.03       0.999          24.3
  24      1.3903e+04     1.2228e-01        52.21       0.999          25.5
  25      1.0488e+04     1.0330e-01        45.66       1.000          26.6
  26      7.9119e+03     9.0121e-02        38.49       0.999          27.7
  27      5.9686e+03     8.1511e-02        31.42       1.000          28.7
  28      4.5025e+03     7.6005e-02        24.98       0.999          29.8
  29      3.3966e+03     7.2606e-02        19.52       0.999          30.9
  30      2.5623e+03     7.0659e-02        14.95       1.000          31.9
  31      1.9329e+03     6.9515e-02        11.30       1.000          33.0
  32      1.4582e+03     6.8872e-02         8.50       1.000          34.0
  33      1.1000e+03     6.8629e-02         6.32       1.000          35.1
  34      8.2981e+02     6.8505e-02         4.67       1.000          36.1
  35      6.2599e+02     6.8378e-02         3.39       1.000          37.2
  36      4.7223e+02     6.8494e-02         2.34       0.999          39.0
  37      3.5624e+02     6.8580e-02         1.38       0.999          41.0
  38      2.6874e+02     6.8620e-02         0.80       1.000          42.6
  39      2.0273e+02     6.8709e-02         0.22       1.000          44.2
  40      1.5293e+02     6.8911e-02         0.22       0.999          45.7
  41      1.1537e+02     6.8862e-02        -0.37       1.000          47.3
  42      8.7031e+01     6.9310e-02        -0.64       0.999          49.0
  43      6.5649e+01     6.9334e-02        -0.82       0.999          50.7
  44      4.8890e+01     6.9560e-02        -1.10       0.999          52.6
  45      3.5902e+01     6.9869e-02        -1.15       0.999          54.5
  46      2.5963e+01     7.0063e-02        -1.67       1.000          56.6
  47      1.8462e+01     7.0804e-02        -1.66       0.999          58.9
  48      1.2888e+01     7.1114e-02        -2.34       1.000          61.4
  49      8.8167e+00     7.2086e-02        -2.54       0.999          64.4
  50      5.9005e+00     7.2964e-02        -3.03       0.999          68.0
  51      3.8562e+00     7.3149e-02        -3.89       0.998          72.5
  52      2.4573e+00     7.5820e-02        -4.31       0.998          78.3
  53      1.5252e+00     7.7231e-02        -5.07       1.000          87.5
  54      9.2196e-01     8.0241e-02        -5.10       1.000          98.8
  55      5.4349e-01     8.3238e-02        -4.84       1.000         114.0
  56      3.1344e-01     8.5650e-02        -4.02       0.999         135.4
  57      1.7783e-01     8.7426e-02        -3.38       0.999         166.4
  58      1.0000e-01     8.8845e-02        -3.20       0.999         205.7

