File.......:  nimh1-1000-1 - AUG,07.2023

System.....:  NiMH 1 2000mAh
Potential..:  1.176V
Current....:  -1.0033A
Temperature:  -0.6 +-0.0 C
Time.......:  15:10:07 - 15:16:08
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   39
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      3.0000e+04     2.3594e-01        68.19       0.999           0.0
   2      2.2531e+04     1.8670e-01        63.80       0.999           2.2
   3      1.6922e+04     1.5032e-01        58.64       0.998           3.6
   4      1.2709e+04     1.2331e-01        52.30       0.999           5.0
   5      9.5446e+03     1.0422e-01        45.30       0.999           6.4
   6      7.1684e+03     9.1245e-02        37.79       0.999           7.8
   7      5.3837e+03     8.2788e-02        30.60       0.999           9.1
   8      4.0433e+03     7.7556e-02        24.12       0.999          10.6
   9      3.0367e+03     7.4061e-02        18.66       0.999          12.3
  10      2.2806e+03     7.2338e-02        14.18       1.000          14.0
  11      1.7128e+03     7.1272e-02        10.66       1.000          15.4
  12      1.2864e+03     7.0700e-02         7.94       1.000          16.7
  13      9.6613e+02     7.0431e-02         5.91       1.000          18.1
  14      7.2560e+02     7.0357e-02         4.32       1.000          19.5
  15      5.4495e+02     7.0326e-02         3.13       1.000          20.9
  16      4.0928e+02     7.0346e-02         1.97       0.999          24.2
  17      3.0738e+02     7.0437e-02         1.22       1.000          28.8
  18      2.3085e+02     7.0588e-02         0.74       1.000          31.8
  19      1.7338e+02     7.0763e-02         0.24       0.999          33.7
  20      1.3021e+02     7.0711e-02         0.07       1.000          36.2
  21      9.7794e+01     7.0827e-02        -0.52       0.999          38.7
  22      7.3447e+01     7.1121e-02        -0.55       0.999          40.8
  23      5.4991e+01     7.1232e-02        -0.67       1.000          42.9
  24      4.0675e+01     7.1556e-02        -0.95       1.000          45.1
  25      2.9692e+01     7.1780e-02        -1.16       1.000          47.5
  26      2.1366e+01     7.1946e-02        -1.28       1.000          50.6
  27      1.5137e+01     7.2464e-02        -1.63       1.000          54.7
  28      1.0545e+01     7.3004e-02        -1.83       1.000          58.5
  29      7.2118e+00     7.3534e-02        -2.41       1.000          62.2
  30      4.8357e+00     7.4433e-02        -2.24       1.000          66.6
  31      3.1743e+00     7.5490e-02        -2.50       0.999          73.8
  32      2.0373e+00     7.6965e-02        -2.68       0.999          82.6
  33      1.2772e+00     7.7974e-02        -2.66       1.000          96.0
  34      7.8169e-01     7.9193e-02        -2.22       1.000         117.1
  35      4.6733e-01     7.9855e-02        -1.83       1.000         154.5
  36      2.7337e-01     8.0417e-02        -1.70       1.000         181.8
  37      1.5697e-01     8.0556e-02        -1.69       1.000         221.5
  38      8.8914e-02     8.1759e-02        -2.28       0.999         273.9
  39      5.0000e-02     8.4445e-02        -1.54       0.995         339.1

