File.......:  nimh2-0200-1 - AUG,17.2023

System.....:  NiMH2 2000mAh
Potential..:  1.295V
Current....:  -200.44mA
Temperature:  -0.6 +-0.0 C
Time.......:  12:35:30 - 12:41:54
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   55
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      3.0738e+02     7.4824e-02         1.04       0.999           0.0
   2      4.0928e+02     7.4864e-02         1.53       1.000           2.8
   3      5.4495e+02     7.4890e-02         2.60       1.000           4.4
   4      7.2560e+02     7.4882e-02         3.67       1.000           5.8
   5      9.6613e+02     7.4993e-02         5.06       1.000           6.8
   6      1.2864e+03     7.5171e-02         6.82       1.000           7.9
   7      1.7128e+03     7.5623e-02         9.23       1.000           8.9
   8      2.2806e+03     7.6399e-02        12.23       1.000          10.0
   9      3.0367e+03     7.7875e-02        16.17       1.000          11.0
  10      4.0433e+03     8.0510e-02        21.02       1.000          12.1
  11      5.3837e+03     8.4810e-02        26.94       1.000          13.2
  12      7.1684e+03     9.1941e-02        33.69       0.999          14.2
  13      9.5446e+03     1.0305e-01        40.93       0.999          15.3
  14      1.2709e+04     1.1979e-01        48.03       0.999          16.3
  15      1.6922e+04     1.4346e-01        54.55       0.998          17.4
  16      2.2531e+04     1.7628e-01        60.13       0.999          18.5
  17      3.0000e+04     2.2042e-01        65.15       1.000          19.6
  18      2.2531e+04     1.7632e-01        60.10       1.000          21.0
  19      1.6922e+04     1.4340e-01        54.50       0.999          22.2
  20      1.2709e+04     1.1975e-01        48.05       0.999          23.2
  21      9.5446e+03     1.0313e-01        40.86       1.000          24.3
  22      7.1684e+03     9.1805e-02        33.66       1.000          25.3
  23      5.3837e+03     8.4871e-02        26.92       0.999          26.4
  24      4.0433e+03     8.0426e-02        21.02       0.999          27.5
  25      3.0367e+03     7.7878e-02        16.13       1.000          28.5
  26      2.2806e+03     7.6429e-02        12.21       1.000          29.6
  27      1.7128e+03     7.5548e-02         9.20       1.000          30.6
  28      1.2864e+03     7.5152e-02         6.80       1.000          31.7
  29      9.6613e+02     7.4961e-02         5.04       1.000          32.7
  30      7.2560e+02     7.4874e-02         3.65       1.000          33.8
  31      5.4495e+02     7.4880e-02         2.62       1.000          34.8
  32      4.0928e+02     7.4808e-02         1.55       1.000          36.6
  33      3.0738e+02     7.5043e-02         0.90       0.999          38.7
  34      2.3085e+02     7.5127e-02         0.49       0.999          40.3
  35      1.7338e+02     7.5248e-02         0.12       0.999          41.8
  36      1.3021e+02     7.5266e-02        -0.11       1.000          43.4
  37      9.7794e+01     7.5554e-02        -0.42       0.999          45.0
  38      7.3447e+01     7.5764e-02        -0.64       0.999          46.7
  39      5.4991e+01     7.6031e-02        -0.85       0.999          48.5
  40      4.0675e+01     7.6249e-02        -1.01       1.000          50.4
  41      2.9692e+01     7.6629e-02        -1.31       0.999          52.5
  42      2.1366e+01     7.6916e-02        -1.49       1.000          54.7
  43      1.5137e+01     7.7182e-02        -1.68       1.000          57.2
  44      1.0545e+01     7.8170e-02        -2.12       1.000          60.0
  45      7.2118e+00     7.9107e-02        -2.70       0.999          63.4
  46      4.8357e+00     7.9384e-02        -3.07       0.999          67.4
  47      3.1743e+00     8.0403e-02        -2.82       0.999          72.6
  48      2.0373e+00     8.1995e-02        -4.25       0.997          79.3
  49      1.2772e+00     8.4309e-02        -4.16       1.000          89.8
  50      7.8169e-01     8.6800e-02        -3.92       1.000         103.4
  51      4.6733e-01     8.8935e-02        -3.64       1.000         123.6
  52      2.7337e-01     9.0695e-02        -3.03       1.000         150.6
  53      1.5697e-01     9.1739e-02        -2.68       0.999         190.0
  54      8.8914e-02     9.2725e-02        -2.88       1.000         242.1
  55      5.0000e-02     9.3533e-02        -2.82       0.999         361.7

