File.......:  nimh3-1336-1 - AUG,17.2023

System.....:  NiMH3 2000mAh
Potential..:  1.363V
Current....:  3.1257mA
Temperature:  -1.1 +-0.1 C
Time.......:  14:03:44 - 14:13:12
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   55
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      3.0738e+02     7.8938e-02         0.93       1.000           0.0
   2      4.0928e+02     7.8828e-02         1.48       1.000           9.6
   3      5.4495e+02     7.8844e-02         2.53       1.000          15.0
   4      7.2560e+02     7.8826e-02         3.56       1.000          20.5
   5      9.6613e+02     7.8897e-02         4.89       1.000          25.9
   6      1.2864e+03     7.9065e-02         6.59       1.000          31.4
   7      1.7128e+03     7.9488e-02         8.88       1.000          36.9
   8      2.2806e+03     8.0286e-02        11.83       1.000          42.3
   9      3.0367e+03     8.1747e-02        15.64       1.000          47.7
  10      4.0433e+03     8.4276e-02        20.37       1.000          53.2
  11      5.3837e+03     8.8572e-02        26.13       0.999          58.7
  12      7.1684e+03     9.5615e-02        32.76       1.000          64.2
  13      9.5446e+03     1.0673e-01        39.97       0.999          69.7
  14      1.2709e+04     1.2336e-01        47.11       0.999          75.2
  15      1.6922e+04     1.4723e-01        53.70       1.000          80.7
  16      2.2531e+04     1.8022e-01        59.47       0.999          86.2
  17      3.0000e+04     2.2467e-01        64.33       0.999          91.7
  18      2.2531e+04     1.8024e-01        59.48       0.999          97.2
  19      1.6922e+04     1.4723e-01        53.72       1.000         102.7
  20      1.2709e+04     1.2329e-01        47.12       0.999         108.3
  21      9.5446e+03     1.0669e-01        39.99       0.999         113.9
  22      7.1684e+03     9.5577e-02        32.79       0.999         119.4
  23      5.3837e+03     8.8506e-02        26.15       0.999         125.0
  24      4.0433e+03     8.4195e-02        20.39       1.000         130.6
  25      3.0367e+03     8.1658e-02        15.66       1.000         136.1
  26      2.2806e+03     8.0183e-02        11.85       1.000         141.6
  27      1.7128e+03     7.9386e-02         8.89       1.000         147.1
  28      1.2864e+03     7.8944e-02         6.60       1.000         152.6
  29      9.6613e+02     7.8749e-02         4.90       1.000         158.1
  30      7.2560e+02     7.8663e-02         3.57       1.000         163.7
  31      5.4495e+02     7.8658e-02         2.54       1.000         169.2
  32      4.0928e+02     7.8621e-02         1.47       1.000         174.6
  33      3.0738e+02     7.8727e-02         0.92       1.000         180.2
  34      2.3085e+02     7.8808e-02         0.43       1.000         185.7
  35      1.7338e+02     7.8972e-02         0.06       1.000         191.2
  36      1.3021e+02     7.9136e-02        -0.18       1.000         196.8
  37      9.7794e+01     7.9268e-02        -0.55       1.000         202.4
  38      7.3447e+01     7.9468e-02        -0.74       1.000         208.2
  39      5.4991e+01     7.9707e-02        -0.84       1.000         214.4
  40      4.0675e+01     7.9988e-02        -1.02       1.000         220.8
  41      2.9692e+01     8.0293e-02        -1.26       1.000         226.9
  42      2.1366e+01     8.0705e-02        -1.50       1.000         233.3
  43      1.5137e+01     8.1177e-02        -1.75       1.000         239.9
  44      1.0545e+01     8.1761e-02        -2.07       1.000         246.9
  45      7.2118e+00     8.2392e-02        -2.66       1.000         254.4
  46      4.8357e+00     8.3323e-02        -2.79       1.000         262.5
  47      3.1743e+00     8.4426e-02        -3.36       1.000         271.7
  48      2.0373e+00     8.6136e-02        -3.76       1.000         282.4
  49      1.2772e+00     8.8385e-02        -4.31       1.000         296.9
  50      7.8169e-01     9.1073e-02        -4.23       1.000         314.4
  51      4.6733e-01     9.3665e-02        -3.89       1.000         338.6
  52      2.7337e-01     9.5645e-02        -3.27       1.000         369.5
  53      1.5697e-01     9.7000e-02        -2.94       1.000         413.2
  54      8.8914e-02     9.8137e-02        -3.02       1.000         469.5
  55      5.0000e-02     9.9186e-02        -3.15       1.000         538.3

