File.......:  nimh3-2000-1 - AUG,17.2023

System.....:  NiMH3 2000mAh
Potential..:  1.059V
Current....:  -2.0045A
Temperature:  -0.7 +-0.0 C
Time.......:  15:35:10 - 15:41:32
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   55
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      3.0738e+02     7.7906e-02         1.03       1.000           0.0
   2      4.0928e+02     7.7808e-02         1.56       1.000           2.7
   3      5.4495e+02     7.7824e-02         2.63       1.000           4.3
   4      7.2560e+02     7.7834e-02         3.66       1.000           5.6
   5      9.6613e+02     7.7908e-02         5.01       1.000           6.6
   6      1.2864e+03     7.8108e-02         6.74       1.000           7.6
   7      1.7128e+03     7.8541e-02         9.07       1.000           8.6
   8      2.2806e+03     7.9364e-02        12.09       1.000           9.7
   9      3.0367e+03     8.0872e-02        15.97       1.000          10.7
  10      4.0433e+03     8.3498e-02        20.79       1.000          11.7
  11      5.3837e+03     8.7952e-02        26.63       0.999          12.7
  12      7.1684e+03     9.5208e-02        33.33       0.999          13.8
  13      9.5446e+03     1.0654e-01        40.53       0.999          14.9
  14      1.2709e+04     1.2353e-01        47.63       0.999          16.0
  15      1.6922e+04     1.4779e-01        54.12       1.000          17.0
  16      2.2531e+04     1.8123e-01        59.74       0.999          18.1
  17      3.0000e+04     2.2616e-01        64.46       0.999          19.1
  18      2.2531e+04     1.8124e-01        59.75       0.999          20.1
  19      1.6922e+04     1.4784e-01        54.13       0.999          21.1
  20      1.2709e+04     1.2355e-01        47.62       0.999          22.1
  21      9.5446e+03     1.0654e-01        40.51       0.999          23.1
  22      7.1684e+03     9.5183e-02        33.33       1.000          24.3
  23      5.3837e+03     8.7945e-02        26.65       0.999          25.4
  24      4.0433e+03     8.3511e-02        20.80       0.999          26.4
  25      3.0367e+03     8.0882e-02        15.97       1.000          27.4
  26      2.2806e+03     7.9383e-02        12.08       1.000          28.5
  27      1.7128e+03     7.8553e-02         9.07       1.000          29.5
  28      1.2864e+03     7.8119e-02         6.74       1.000          30.5
  29      9.6613e+02     7.7920e-02         5.01       1.000          31.5
  30      7.2560e+02     7.7847e-02         3.66       1.000          32.5
  31      5.4495e+02     7.7844e-02         2.63       1.000          33.5
  32      4.0928e+02     7.7822e-02         1.56       1.000          35.3
  33      3.0738e+02     7.7930e-02         1.03       1.000          37.3
  34      2.3085e+02     7.7998e-02         0.58       1.000          38.8
  35      1.7338e+02     7.8111e-02         0.23       1.000          40.3
  36      1.3021e+02     7.8267e-02         0.02       1.000          41.9
  37      9.7794e+01     7.8385e-02        -0.36       1.000          43.5
  38      7.3447e+01     7.8538e-02        -0.46       1.000          45.1
  39      5.4991e+01     7.8685e-02        -0.54       1.000          46.9
  40      4.0675e+01     7.8892e-02        -0.69       1.000          48.7
  41      2.9692e+01     7.9120e-02        -0.86       1.000          50.7
  42      2.1366e+01     7.9400e-02        -1.01       1.000          52.9
  43      1.5137e+01     7.9748e-02        -1.17       1.000          55.3
  44      1.0545e+01     8.0180e-02        -1.34       1.000          58.1
  45      7.2118e+00     8.0639e-02        -1.70       1.000          61.4
  46      4.8357e+00     8.1361e-02        -1.53       1.000          65.5
  47      3.1743e+00     8.2046e-02        -1.62       1.000          70.6
  48      2.0373e+00     8.2871e-02        -1.42       1.000          77.3
  49      1.2772e+00     8.3523e-02        -1.38       1.000          87.7
  50      7.8169e-01     8.4021e-02        -1.12       1.000         101.2
  51      4.6733e-01     8.4368e-02        -1.11       1.000         121.4
  52      2.7337e-01     8.4801e-02        -1.10       1.000         148.4
  53      1.5697e-01     8.5255e-02        -1.24       1.000         187.8
  54      8.8914e-02     8.5801e-02        -1.41       1.000         239.8
  55      5.0000e-02     8.6568e-02        -1.72       1.000         359.2

