File.......:  nimh4-0200-1 - AUG,18.2023

System.....:  NiMH 4 2000mAh
Potential..:  1.301V
Current....:  -200.48mA
Temperature:  -0.6 +-0.0 C
Time.......:  10:52:01 - 10:57:20
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2864e+03     7.3098e-02         7.24       1.000           0.0
   2      1.7128e+03     7.3581e-02         9.74       1.000           1.7
   3      2.2806e+03     7.4510e-02        12.95       1.000           2.7
   4      3.0367e+03     7.6071e-02        17.09       1.000           3.7
   5      4.0433e+03     7.8871e-02        22.16       1.000           4.7
   6      5.3837e+03     8.3605e-02        28.25       1.000           5.8
   7      7.1684e+03     9.1245e-02        35.13       0.999           6.8
   8      9.5446e+03     1.0306e-01        42.39       1.000           7.8
   9      1.2709e+04     1.2052e-01        49.37       0.999           8.8
  10      1.6922e+04     1.4525e-01        55.66       0.999           9.8
  11      2.2531e+04     1.7908e-01        61.06       0.999          10.8
  12      3.0000e+04     2.2415e-01        65.71       0.999          12.0
  13      2.2531e+04     1.7904e-01        61.05       0.999          13.2
  14      1.6922e+04     1.4518e-01        55.68       0.999          14.3
  15      1.2709e+04     1.2058e-01        49.36       0.999          15.4
  16      9.5446e+03     1.0310e-01        42.41       0.999          16.4
  17      7.1684e+03     9.1227e-02        35.11       1.000          17.4
  18      5.3837e+03     8.3619e-02        28.25       1.000          18.4
  19      4.0433e+03     7.8880e-02        22.17       1.000          19.4
  20      3.0367e+03     7.6095e-02        17.10       1.000          20.5
  21      2.2806e+03     7.4467e-02        12.95       1.000          21.5
  22      1.7128e+03     7.3577e-02         9.72       1.000          22.5
  23      1.2864e+03     7.3105e-02         7.23       1.000          23.5
  24      9.6613e+02     7.2837e-02         5.36       1.000          24.5
  25      7.2560e+02     7.2802e-02         3.92       1.000          25.5
  26      5.4495e+02     7.2776e-02         2.78       1.000          26.5
  27      4.0928e+02     7.2723e-02         1.66       1.000          28.3
  28      3.0738e+02     7.2935e-02         1.07       1.000          30.3
  29      2.3085e+02     7.2987e-02         0.61       1.000          31.8
  30      1.7338e+02     7.3070e-02         0.06       1.000          33.3
  31      1.3021e+02     7.3234e-02        -0.05       1.000          34.9
  32      9.7794e+01     7.3419e-02        -0.50       0.999          36.5
  33      7.3447e+01     7.3602e-02        -0.66       0.999          38.1
  34      5.4991e+01     7.3883e-02        -0.92       1.000          39.9
  35      4.0675e+01     7.4071e-02        -1.13       1.000          41.7
  36      2.9692e+01     7.4447e-02        -1.39       1.000          43.7
  37      2.1366e+01     7.4785e-02        -1.62       1.000          45.9
  38      1.5137e+01     7.5333e-02        -1.85       1.000          48.4
  39      1.0545e+01     7.5815e-02        -2.14       1.000          51.1
  40      7.2118e+00     7.6520e-02        -2.72       1.000          54.5
  41      4.8357e+00     7.7567e-02        -3.00       1.000          58.5
  42      3.1743e+00     7.8375e-02        -3.39       0.999          63.6
  43      2.0373e+00     8.0361e-02        -4.20       0.999          70.3
  44      1.2772e+00     8.2385e-02        -4.44       1.000          80.7
  45      7.8169e-01     8.5052e-02        -4.32       1.000          94.2
  46      4.6733e-01     8.7324e-02        -3.91       1.000         114.5
  47      2.7337e-01     8.9195e-02        -3.31       1.000         141.4
  48      1.5697e-01     9.0568e-02        -2.90       1.000         180.8
  49      8.8914e-02     9.1693e-02        -2.85       0.999         232.8
  50      5.0000e-02     9.2872e-02        -2.99       1.000         297.6

