File.......:  nimh4-1220-1 - AUG,18.2023

System.....:  NiMH 4 2000mAh
Potential..:  1.220V
Current....:  93.145mA
Temperature:  -0.7 +-0.0 C
Time.......:  12:15:06 - 12:19:58
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2864e+03     7.5513e-02         6.83       1.000           0.0
   2      1.7128e+03     7.5911e-02         9.21       1.000           1.6
   3      2.2806e+03     7.6700e-02        12.32       1.000           2.1
   4      3.0367e+03     7.8180e-02        16.33       1.000           2.7
   5      4.0433e+03     8.0795e-02        21.31       1.000           3.3
   6      5.3837e+03     8.5275e-02        27.31       0.999           3.8
   7      7.1684e+03     9.2628e-02        34.15       1.000           4.4
   8      9.5446e+03     1.0417e-01        41.45       1.000           4.9
   9      1.2709e+04     1.2131e-01        48.52       0.999           5.5
  10      1.6922e+04     1.4574e-01        54.96       1.000           6.1
  11      2.2531e+04     1.7931e-01        60.47       1.000           6.6
  12      3.0000e+04     2.2414e-01        65.09       1.000           7.2
  13      2.2531e+04     1.7928e-01        60.49       0.999           7.7
  14      1.6922e+04     1.4577e-01        54.95       0.999           8.3
  15      1.2709e+04     1.2132e-01        48.53       0.999           8.8
  16      9.5446e+03     1.0414e-01        41.45       0.999           9.4
  17      7.1684e+03     9.2614e-02        34.16       0.999           9.9
  18      5.3837e+03     8.5263e-02        27.32       0.999          10.5
  19      4.0433e+03     8.0774e-02        21.32       1.000          11.1
  20      3.0367e+03     7.8151e-02        16.34       1.000          11.6
  21      2.2806e+03     7.6666e-02        12.33       1.000          12.2
  22      1.7128e+03     7.5876e-02         9.23       1.000          12.7
  23      1.2864e+03     7.5472e-02         6.83       1.000          13.3
  24      9.6613e+02     7.5305e-02         5.05       1.000          13.8
  25      7.2560e+02     7.5252e-02         3.69       1.000          14.4
  26      5.4495e+02     7.5259e-02         2.65       1.000          14.9
  27      4.0928e+02     7.5257e-02         1.60       1.000          15.5
  28      3.0738e+02     7.5351e-02         1.05       1.000          16.0
  29      2.3085e+02     7.5433e-02         0.57       1.000          16.6
  30      1.7338e+02     7.5550e-02         0.22       1.000          17.1
  31      1.3021e+02     7.5686e-02         0.00       1.000          17.7
  32      9.7794e+01     7.5774e-02        -0.33       1.000          18.3
  33      7.3447e+01     7.5946e-02        -0.47       1.000          19.0
  34      5.4991e+01     7.6111e-02        -0.53       1.000          20.5
  35      4.0675e+01     7.6332e-02        -0.69       1.000          22.4
  36      2.9692e+01     7.6496e-02        -0.82       1.000          23.9
  37      2.1366e+01     7.6836e-02        -1.00       1.000          25.6
  38      1.5137e+01     7.7167e-02        -1.17       1.000          27.6
  39      1.0545e+01     7.7447e-02        -1.25       1.000          29.9
  40      7.2118e+00     7.7819e-02        -1.54       1.000          32.8
  41      4.8357e+00     7.8531e-02        -1.28       1.000          36.3
  42      3.1743e+00     7.9116e-02        -1.67       1.000          41.0
  43      2.0373e+00     7.9980e-02        -1.04       0.999          47.2
  44      1.2772e+00     8.0331e-02        -1.35       1.000          57.0
  45      7.8169e-01     8.0820e-02        -1.29       1.000          70.0
  46      4.6733e-01     8.1312e-02        -1.43       1.000          89.8
  47      2.7337e-01     8.1941e-02        -1.59       1.000         116.3
  48      1.5697e-01     8.2689e-02        -1.87       1.000         155.2
  49      8.8914e-02     8.3756e-02        -2.40       1.000         206.7
  50      5.0000e-02     8.5118e-02        -3.14       1.000         271.1

