File.......:  nimh1-1390-1 - AUG,18.2023

System.....:  NiMH 1 2000mAh
Potential..:  1.399V
Current....:  1.9159mA
Temperature:  -1.0 +-0.2 C
Time.......:  12:22:39 - 12:31:38
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2864e+03     7.7131e-02         6.83       1.000           0.0
   2      1.7128e+03     7.7571e-02         9.20       1.000           9.5
   3      2.2806e+03     7.8393e-02        12.25       1.000          15.3
   4      3.0367e+03     7.9921e-02        16.17       1.000          21.1
   5      4.0433e+03     8.2558e-02        21.04       1.000          26.7
   6      5.3837e+03     8.7054e-02        26.92       1.000          32.0
   7      7.1684e+03     9.4354e-02        33.63       1.000          37.3
   8      9.5446e+03     1.0579e-01        40.84       0.999          42.6
   9      1.2709e+04     1.2278e-01        47.90       0.999          48.2
  10      1.6922e+04     1.4705e-01        54.38       0.999          53.9
  11      2.2531e+04     1.8041e-01        59.99       1.000          59.3
  12      3.0000e+04     2.2507e-01        64.71       1.000          64.7
  13      2.2531e+04     1.8043e-01        59.99       1.000          70.3
  14      1.6922e+04     1.4707e-01        54.38       1.000          76.4
  15      1.2709e+04     1.2274e-01        47.92       0.999          82.1
  16      9.5446e+03     1.0575e-01        40.86       1.000          87.7
  17      7.1684e+03     9.4295e-02        33.65       0.999          93.4
  18      5.3837e+03     8.6974e-02        26.92       0.999          99.0
  19      4.0433e+03     8.2474e-02        21.05       1.000         104.4
  20      3.0367e+03     7.9821e-02        16.18       1.000         109.8
  21      2.2806e+03     7.8290e-02        12.26       1.000         115.2
  22      1.7128e+03     7.7458e-02         9.20       1.000         120.7
  23      1.2864e+03     7.7001e-02         6.84       1.000         126.1
  24      9.6613e+02     7.6785e-02         5.08       1.000         131.4
  25      7.2560e+02     7.6700e-02         3.69       1.000         136.8
  26      5.4495e+02     7.6691e-02         2.63       1.000         142.3
  27      4.0928e+02     7.6662e-02         1.56       1.000         147.7
  28      3.0738e+02     7.6755e-02         1.00       1.000         153.1
  29      2.3085e+02     7.6839e-02         0.49       1.000         158.5
  30      1.7338e+02     7.6991e-02         0.12       1.000         163.9
  31      1.3021e+02     7.7133e-02        -0.14       1.000         169.3
  32      9.7794e+01     7.7241e-02        -0.52       1.000         174.7
  33      7.3447e+01     7.7459e-02        -0.69       1.000         180.3
  34      5.4991e+01     7.7675e-02        -0.76       1.000         186.4
  35      4.0675e+01     7.7938e-02        -0.97       1.000         192.8
  36      2.9692e+01     7.8221e-02        -1.19       1.000         198.7
  37      2.1366e+01     7.8605e-02        -1.42       1.000         204.9
  38      1.5137e+01     7.9053e-02        -1.65       1.000         211.3
  39      1.0545e+01     7.9602e-02        -1.92       1.000         218.1
  40      7.2118e+00     8.0191e-02        -2.46       1.000         225.4
  41      4.8357e+00     8.1071e-02        -2.53       1.000         233.4
  42      3.1743e+00     8.2118e-02        -2.98       1.000         242.5
  43      2.0373e+00     8.3654e-02        -3.20       1.000         253.6
  44      1.2772e+00     8.5481e-02        -3.53       1.000         268.7
  45      7.8169e-01     8.7499e-02        -3.33       1.000         286.8
  46      4.6733e-01     8.9237e-02        -3.00       1.000         311.3
  47      2.7337e-01     9.0638e-02        -2.64       1.000         342.3
  48      1.5697e-01     9.1749e-02        -2.60       1.000         385.6
  49      8.8914e-02     9.2782e-02        -2.77       1.000         441.7
  50      5.0000e-02     9.4216e-02        -3.31       0.999         510.6

