File.......:  nimh3-1374-1 - AUG,24.2023

System.....:  NiMH 3 2000mAh
Potential..:  1.374V
Current....:  961.01uA
Temperature:  -0.7 +-0.0 C
Time.......:  12:41:16 - 12:46:10
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2864e+03     8.5975e-02         6.18       1.000           0.0
   2      1.7128e+03     8.6387e-02         8.31       1.000           2.6
   3      2.2806e+03     8.7150e-02        11.06       1.000           3.2
   4      3.0367e+03     8.8549e-02        14.64       1.000           3.8
   5      4.0433e+03     9.0983e-02        19.08       1.000           4.3
   6      5.3837e+03     9.5154e-02        24.56       0.999           4.9
   7      7.1684e+03     1.0198e-01        30.94       0.999           5.4
   8      9.5446e+03     1.1280e-01        37.99       0.999           6.0
   9      1.2709e+04     1.2913e-01        45.11       1.000           6.5
  10      1.6922e+04     1.5273e-01        51.84       0.999           7.1
  11      2.2531e+04     1.8553e-01        57.80       0.999           7.7
  12      3.0000e+04     2.2983e-01        62.91       0.999           8.2
  13      2.2531e+04     1.8555e-01        57.80       1.000           8.8
  14      1.6922e+04     1.5271e-01        51.84       0.999           9.3
  15      1.2709e+04     1.2909e-01        45.12       1.000           9.9
  16      9.5446e+03     1.1274e-01        38.01       1.000          10.4
  17      7.1684e+03     1.0191e-01        30.96       1.000          11.0
  18      5.3837e+03     9.5064e-02        24.58       0.999          11.5
  19      4.0433e+03     9.0891e-02        19.11       1.000          12.1
  20      3.0367e+03     8.8439e-02        14.66       1.000          12.7
  21      2.2806e+03     8.7024e-02        11.08       1.000          13.2
  22      1.7128e+03     8.6247e-02         8.32       1.000          13.8
  23      1.2864e+03     8.5826e-02         6.18       1.000          14.4
  24      9.6613e+02     8.5649e-02         4.60       1.000          14.9
  25      7.2560e+02     8.5559e-02         3.36       1.000          15.4
  26      5.4495e+02     8.5546e-02         2.40       1.000          16.0
  27      4.0928e+02     8.5519e-02         1.39       1.000          16.6
  28      3.0738e+02     8.5621e-02         0.89       1.000          17.1
  29      2.3085e+02     8.5695e-02         0.44       1.000          17.6
  30      1.7338e+02     8.5821e-02         0.10       1.000          18.2
  31      1.3021e+02     8.5980e-02        -0.12       1.000          18.7
  32      9.7794e+01     8.6076e-02        -0.46       1.000          19.4
  33      7.3447e+01     8.6280e-02        -0.63       1.000          20.0
  34      5.4991e+01     8.6492e-02        -0.68       1.000          21.5
  35      4.0675e+01     8.6734e-02        -0.86       1.000          23.4
  36      2.9692e+01     8.6991e-02        -1.06       1.000          25.0
  37      2.1366e+01     8.7362e-02        -1.27       1.000          26.7
  38      1.5137e+01     8.7781e-02        -1.47       1.000          28.7
  39      1.0545e+01     8.8319e-02        -1.73       1.000          31.0
  40      7.2118e+00     8.8889e-02        -2.25       1.000          33.8
  41      4.8357e+00     8.9760e-02        -2.26       1.000          37.4
  42      3.1743e+00     9.0807e-02        -2.65       1.000          42.1
  43      2.0373e+00     9.2293e-02        -2.84       1.000          48.3
  44      1.2772e+00     9.4049e-02        -3.08       1.000          58.0
  45      7.8169e-01     9.5861e-02        -2.83       1.000          71.1
  46      4.6733e-01     9.7287e-02        -2.56       1.000          90.8
  47      2.7337e-01     9.8436e-02        -2.31       1.000         117.3
  48      1.5697e-01     9.9312e-02        -2.25       1.000         156.2
  49      8.8914e-02     1.0030e-01        -2.45       1.000         207.8
  50      5.0000e-02     1.0132e-01        -2.87       1.000         272.2

