File.......:  nimh4-0200-2 - AUG,31.2023

System.....:  NiMH 4 2000mAh
Potential..:  1.237V
Current....:  -200.5mA
Temperature:  -0.7 +-0.0 C
Time.......:  12:00:05 - 12:05:24
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2864e+03     7.7584e-02         6.70       1.000           0.0
   2      1.7128e+03     7.8012e-02         9.05       1.000           1.7
   3      2.2806e+03     7.8798e-02        12.09       1.000           2.7
   4      3.0367e+03     8.0276e-02        15.99       1.000           3.7
   5      4.0433e+03     8.2853e-02        20.82       1.000           4.7
   6      5.3837e+03     8.7308e-02        26.70       0.999           5.8
   7      7.1684e+03     9.4551e-02        33.47       1.000           6.8
   8      9.5446e+03     1.0588e-01        40.68       0.999           7.8
   9      1.2709e+04     1.2292e-01        47.75       0.999           8.8
  10      1.6922e+04     1.4712e-01        54.31       0.999           9.8
  11      2.2531e+04     1.8044e-01        59.89       0.998          10.8
  12      3.0000e+04     2.2513e-01        64.76       0.999          12.0
  13      2.2531e+04     1.8045e-01        59.83       0.999          13.2
  14      1.6922e+04     1.4714e-01        54.26       0.999          14.3
  15      1.2709e+04     1.2292e-01        47.75       0.999          15.4
  16      9.5446e+03     1.0592e-01        40.66       1.000          16.4
  17      7.1684e+03     9.4563e-02        33.44       1.000          17.4
  18      5.3837e+03     8.7322e-02        26.69       1.000          18.4
  19      4.0433e+03     8.2883e-02        20.85       1.000          19.4
  20      3.0367e+03     8.0308e-02        15.98       1.000          20.5
  21      2.2806e+03     7.8788e-02        12.08       1.000          21.5
  22      1.7128e+03     7.7977e-02         9.05       1.000          22.5
  23      1.2864e+03     7.7597e-02         6.68       1.000          23.5
  24      9.6613e+02     7.7448e-02         4.96       1.000          24.5
  25      7.2560e+02     7.7386e-02         3.60       1.000          25.5
  26      5.4495e+02     7.7387e-02         2.59       1.000          26.5
  27      4.0928e+02     7.7421e-02         1.48       1.000          28.3
  28      3.0738e+02     7.7589e-02         0.98       1.000          30.3
  29      2.3085e+02     7.7648e-02         0.53       0.999          31.8
  30      1.7338e+02     7.7766e-02         0.20       1.000          33.3
  31      1.3021e+02     7.7960e-02        -0.07       1.000          34.9
  32      9.7794e+01     7.7934e-02        -0.36       1.000          36.5
  33      7.3447e+01     7.8280e-02        -0.55       1.000          38.1
  34      5.4991e+01     7.8374e-02        -0.62       1.000          39.9
  35      4.0675e+01     7.8610e-02        -0.77       1.000          41.7
  36      2.9692e+01     7.8765e-02        -0.96       1.000          43.7
  37      2.1366e+01     7.9169e-02        -1.08       1.000          45.9
  38      1.5137e+01     7.9459e-02        -1.24       1.000          48.4
  39      1.0545e+01     7.9924e-02        -1.37       1.000          51.1
  40      7.2118e+00     8.0398e-02        -1.79       1.000          54.5
  41      4.8357e+00     8.1181e-02        -1.62       1.000          58.5
  42      3.1743e+00     8.1985e-02        -1.76       1.000          63.6
  43      2.0373e+00     8.2715e-02        -1.60       1.000          70.3
  44      1.2772e+00     8.3500e-02        -1.48       1.000          80.7
  45      7.8169e-01     8.4070e-02        -1.26       1.000          94.2
  46      4.6733e-01     8.4558e-02        -1.28       1.000         114.5
  47      2.7337e-01     8.5146e-02        -1.35       1.000         141.4
  48      1.5697e-01     8.5855e-02        -1.54       1.000         180.8
  49      8.8914e-02     8.6399e-02        -1.86       1.000         232.8
  50      5.0000e-02     8.7475e-02        -2.37       0.999         297.6

