File.......:  nimh4-2000-2 - AUG,31.2023

System.....:  NiMH 4 2000mAh
Potential..:  1.078V
Current....:  -2.0042A
Temperature:  -0.6 +-0.0 C
Time.......:  11:00:07 - 11:05:27
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2864e+03     7.8382e-02         6.71       1.000           0.0
   2      1.7128e+03     7.8821e-02         9.03       1.000           1.7
   3      2.2806e+03     7.9637e-02        12.03       1.000           2.7
   4      3.0367e+03     8.1142e-02        15.90       1.000           3.7
   5      4.0433e+03     8.3746e-02        20.69       1.000           4.7
   6      5.3837e+03     8.8172e-02        26.53       0.999           5.8
   7      7.1684e+03     9.5389e-02        33.19       0.999           6.8
   8      9.5446e+03     1.0669e-01        40.37       0.999           7.9
   9      1.2709e+04     1.2357e-01        47.43       0.999           9.0
  10      1.6922e+04     1.4775e-01        53.97       0.999          10.0
  11      2.2531e+04     1.8106e-01        59.62       0.999          11.1
  12      3.0000e+04     2.2576e-01        64.35       0.999          12.1
  13      2.2531e+04     1.8102e-01        59.62       0.998          13.1
  14      1.6922e+04     1.4780e-01        53.98       1.000          14.1
  15      1.2709e+04     1.2359e-01        47.46       1.000          15.1
  16      9.5446e+03     1.0670e-01        40.35       1.000          16.1
  17      7.1684e+03     9.5416e-02        33.19       1.000          17.3
  18      5.3837e+03     8.8188e-02        26.52       1.000          18.4
  19      4.0433e+03     8.3751e-02        20.69       1.000          19.4
  20      3.0367e+03     8.1137e-02        15.89       1.000          20.5
  21      2.2806e+03     7.9634e-02        12.02       1.000          21.5
  22      1.7128e+03     7.8821e-02         9.02       1.000          22.5
  23      1.2864e+03     7.8382e-02         6.70       1.000          23.5
  24      9.6613e+02     7.8192e-02         4.98       1.000          24.5
  25      7.2560e+02     7.8122e-02         3.64       1.000          25.5
  26      5.4495e+02     7.8117e-02         2.62       1.000          26.5
  27      4.0928e+02     7.8102e-02         1.54       1.000          28.3
  28      3.0738e+02     7.8209e-02         1.03       1.000          30.3
  29      2.3085e+02     7.8307e-02         0.55       1.000          31.8
  30      1.7338e+02     7.8397e-02         0.21       1.000          33.3
  31      1.3021e+02     7.8551e-02        -0.00       1.000          34.9
  32      9.7794e+01     7.8698e-02        -0.31       1.000          36.5
  33      7.3447e+01     7.8822e-02        -0.48       1.000          38.1
  34      5.4991e+01     7.8987e-02        -0.56       1.000          39.9
  35      4.0675e+01     7.9182e-02        -0.70       1.000          41.7
  36      2.9692e+01     7.9407e-02        -0.89       1.000          43.7
  37      2.1366e+01     7.9709e-02        -1.04       1.000          45.9
  38      1.5137e+01     8.0087e-02        -1.20       1.000          48.4
  39      1.0545e+01     8.0512e-02        -1.36       1.000          51.1
  40      7.2118e+00     8.0980e-02        -1.72       1.000          54.5
  41      4.8357e+00     8.1671e-02        -1.57       1.000          58.5
  42      3.1743e+00     8.2394e-02        -1.67       1.000          63.6
  43      2.0373e+00     8.3251e-02        -1.47       1.000          70.3
  44      1.2772e+00     8.3937e-02        -1.42       1.000          80.7
  45      7.8169e-01     8.4441e-02        -1.15       1.000          94.2
  46      4.6733e-01     8.4831e-02        -1.10       1.000         114.5
  47      2.7337e-01     8.5209e-02        -1.06       1.000         141.4
  48      1.5697e-01     8.5542e-02        -1.17       1.000         180.8
  49      8.8914e-02     8.5964e-02        -1.29       1.000         232.8
  50      5.0000e-02     8.6584e-02        -1.64       1.000         297.6

