File.......:  varta nimh 1 at 1.364v after all measurements - MAR,21.2018

System.....:  Varta NiMH 1 at 1.364v
Potential..:  1.364V
Current....:  118.95uA
Temperature:  -0.6 +-0.0 C
Time.......:  08:40:48 - 08:46:04
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   82
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2949e+03     9.1235e-02         3.69       1.000           0.0
   2      1.7253e+03     9.1228e-02         5.30       1.000           2.7
   3      2.2987e+03     9.1440e-02         7.38       1.000           3.3
   4      3.0627e+03     9.2039e-02        10.10       1.000           3.8
   5      4.0807e+03     9.3225e-02        13.57       1.000           4.4
   6      5.4370e+03     9.5488e-02        17.95       1.000           5.0
   7      7.2441e+03     9.9427e-02        23.35       0.999           5.5
   8      9.6518e+03     1.0596e-01        29.76       1.000           6.1
   9      1.2860e+04     1.1650e-01        36.81       1.000           6.6
  10      1.7134e+04     1.3266e-01        44.14       0.999           7.2
  11      2.2829e+04     1.5637e-01        51.12       1.000           7.8
  12      3.0417e+04     1.9001e-01        57.36       0.999           8.3
  13      4.0526e+04     2.3562e-01        62.54       1.000           8.8
  14      5.3996e+04     2.9666e-01        66.83       1.000           9.4
  15      7.1943e+04     3.7756e-01        70.26       0.999           9.9
  16      9.5855e+04     4.8362e-01        73.12       0.999          10.5
  17      1.2771e+05     6.2172e-01        75.38       0.999          11.0
  18      1.7016e+05     8.0678e-01        76.94       0.999          11.6
  19      2.2672e+05     1.0469e+00        80.02       1.000          12.5
  20      3.0208e+05     1.3632e+00        81.31       0.999          13.4
  21      4.0248e+05     1.7890e+00        82.82       0.999          13.9
  22      5.3625e+05     2.3734e+00        83.14       0.999          14.7
  23      7.1449e+05     3.1551e+00        84.59       1.000          15.5
  24      9.5196e+05     4.1942e+00        85.67       0.998          16.0
  25      1.2684e+06     5.6994e+00        86.21       0.999          16.5
  26      1.6899e+06     7.8468e+00        86.82       0.996          17.0
  27      2.2516e+06     9.7143e+00        90.41       0.997          17.8
  28      3.0000e+06     1.3165e+01        88.54       0.992          18.7
  29      2.2516e+06     9.4553e+00        87.12       0.996          19.3
  30      1.6899e+06     8.0839e+00        86.08       0.998          20.1
  31      1.2684e+06     5.7505e+00        85.81       0.998          20.9
  32      9.5196e+05     4.1258e+00        84.95       0.997          21.4
  33      7.1449e+05     3.1112e+00        84.89       0.998          21.9
  34      5.3625e+05     2.3661e+00        83.07       0.999          22.4
  35      4.0248e+05     1.7858e+00        82.97       0.998          23.2
  36      3.0208e+05     1.3683e+00        81.38       0.999          24.0
  37      2.2672e+05     1.0476e+00        79.95       0.999          24.6
  38      1.7016e+05     8.0580e-01        78.11       0.999          25.1
  39      1.2771e+05     6.2289e-01        76.11       0.999          25.7
  40      9.5855e+04     4.8418e-01        73.78       0.999          26.2
  41      7.1943e+04     3.7706e-01        70.26       0.999          27.2
  42      5.3996e+04     2.9676e-01        66.77       1.000          28.1
  43      4.0526e+04     2.3553e-01        62.48       1.000          28.6
  44      3.0417e+04     1.8996e-01        57.41       0.999          29.1
  45      2.2829e+04     1.5629e-01        51.16       1.000          29.7
  46      1.7134e+04     1.3256e-01        44.17       0.999          30.2
  47      1.2860e+04     1.1641e-01        36.85       0.999          30.8
  48      9.6518e+03     1.0589e-01        29.79       0.999          31.4
  49      7.2441e+03     9.9309e-02        23.38       1.000          31.9
  50      5.4370e+03     9.5368e-02        17.97       0.999          32.4
  51      4.0807e+03     9.3101e-02        13.58       1.000          33.0
  52      3.0627e+03     9.1913e-02        10.12       1.000          33.6
  53      2.2987e+03     9.1298e-02         7.39       1.000          34.1
  54      1.7253e+03     9.1069e-02         5.31       1.000          34.7
  55      1.2949e+03     9.1063e-02         3.69       1.000          35.2
  56      9.7186e+02     9.1212e-02         2.49       1.000          35.8
  57      7.2942e+02     9.1435e-02         1.54       1.000          36.3
  58      5.4746e+02     9.1706e-02         0.79       1.000          36.9
  59      4.1089e+02     9.1969e-02        -0.04       1.000          37.4
  60      3.0839e+02     9.2340e-02        -0.45       1.000          38.0
  61      2.3146e+02     9.2711e-02        -0.84       1.000          38.5
  62      1.7372e+02     9.3119e-02        -1.15       1.000          39.0
  63      1.3038e+02     9.3592e-02        -1.36       1.000          39.6
  64      9.7859e+01     9.3987e-02        -1.70       1.000          40.2
  65      7.3447e+01     9.4528e-02        -1.89       1.000          40.9
  66      5.4991e+01     9.5053e-02        -2.02       1.000          42.4
  67      4.0675e+01     9.5624e-02        -2.27       1.000          44.3
  68      2.9692e+01     9.6204e-02        -2.62       1.000          45.8
  69      2.1366e+01     9.6940e-02        -3.07       1.000          47.5
  70      1.5137e+01     9.7745e-02        -3.63       1.000          49.5
  71      1.0545e+01     9.8845e-02        -4.49       1.000          51.8
  72      7.2118e+00     1.0031e-01        -5.85       1.000          54.7
  73      4.8357e+00     1.0281e-01        -7.13       1.000          58.2
  74      3.1743e+00     1.0678e-01        -9.03       1.000          62.9
  75      2.0373e+00     1.1328e-01       -10.71       1.000          69.1
  76      1.2772e+00     1.2252e-01       -11.83       1.000          78.8
  77      7.8169e-01     1.3358e-01       -11.21       1.000          91.9
  78      4.6733e-01     1.4349e-01        -9.48       1.000         111.7
  79      2.7337e-01     1.5094e-01        -7.36       1.000         138.2
  80      1.5697e-01     1.5556e-01        -5.63       1.000         177.1
  81      8.8914e-02     1.5916e-01        -4.68       1.000         228.6
  82      5.0000e-02     1.6187e-01        -4.55       1.000         293.0

