File.......:  varta nimh 1 at 1.364v - MAR,21.2018

System.....:  Varta NiMH 1 at 1.364v
Potential..:  1.364V
Current....:  -233.67uA
Temperature:  -0.5 +-0.0 C
Time.......:  08:10:39 - 08:15:55
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   82
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
  1       1.2949e+03     9.2236e-02         3.65       1.000           0.0
  2       1.7253e+03     9.2237e-02         5.25       1.000           2.6
  3       2.2987e+03     9.2450e-02         7.32       1.000           3.2
  4       3.0627e+03     9.3054e-02        10.01       1.000           3.7
  5       4.0807e+03     9.4232e-02        13.44       1.000           4.3
  6       5.4370e+03     9.6495e-02        17.81       0.999           4.9
  7       7.2441e+03     1.0042e-01        23.18       0.999           5.4
  8       9.6518e+03     1.0699e-01        29.55       1.000           6.0
  9       1.2860e+04     1.1748e-01        36.56       0.999           6.5
 10       1.7134e+04     1.3364e-01        43.86       1.000           7.1
 11       2.2829e+04     1.5736e-01        50.83       0.999           7.7
 12       3.0417e+04     1.9094e-01        57.06       1.000           8.2
 13       4.0526e+04     2.3661e-01        62.15       1.000           8.7
 14       5.3996e+04     2.9741e-01        66.47       0.999           9.3
 15       7.1943e+04     3.7793e-01        69.96       1.000           9.8
 16       9.5855e+04     4.8384e-01        72.85       0.999          10.4
 17       1.2771e+05     6.2327e-01        75.16       1.000          10.9
 18       1.7016e+05     8.0818e-01        77.29       0.999          11.5
 19       2.2672e+05     1.0457e+00        79.83       0.999          12.4
 20       3.0208e+05     1.3716e+00        81.24       0.999          13.3
 21       4.0248e+05     1.7841e+00        82.44       0.998          13.8
 22       5.3625e+05     2.3446e+00        83.44       0.999          14.6
 23       7.1449e+05     3.1461e+00        84.33       0.999          15.4
 24       9.5196e+05     4.1781e+00        85.25       0.998          15.9
 25       1.2684e+06     5.6646e+00        86.02       0.998          16.4
 26       1.6899e+06     7.7681e+00        86.32       0.995          16.9
 27       2.2516e+06     9.8018e+00        87.31       0.993          17.8
 28       3.0000e+06     1.3311e+01        88.53       0.994          18.7
 29       2.2516e+06     9.8720e+00        88.20       0.992          19.2
 30       1.6899e+06     7.9441e+00        86.43       0.998          20.0
 31       1.2684e+06     5.5924e+00        85.89       0.997          20.8
 32       9.5196e+05     4.1172e+00        85.75       0.997          21.3
 33       7.1449e+05     3.1303e+00        84.91       0.999          21.8
 34       5.3625e+05     2.3491e+00        83.59       0.998          22.4
 35       4.0248e+05     1.7786e+00        82.79       0.998          23.1
 36       3.0208e+05     1.3636e+00        81.23       0.999          23.9
 37       2.2672e+05     1.0467e+00        79.73       0.999          24.5
 38       1.7016e+05     8.0645e-01        77.90       0.999          25.0
 39       1.2771e+05     6.2302e-01        75.77       1.000          25.6
 40       9.5855e+04     4.8346e-01        73.43       0.999          26.2
 41       7.1943e+04     3.7743e-01        69.99       1.000          27.1
 42       5.3996e+04     2.9736e-01        66.49       1.000          28.0
 43       4.0526e+04     2.3637e-01        62.21       1.000          28.5
 44       3.0417e+04     1.9091e-01        57.07       0.999          29.0
 45       2.2829e+04     1.5730e-01        50.84       0.999          29.6
 46       1.7134e+04     1.3363e-01        43.86       1.000          30.1
 47       1.2860e+04     1.1745e-01        36.57       1.000          30.7
 48       9.6518e+03     1.0694e-01        29.54       1.000          31.3
 49       7.2441e+03     1.0039e-01        23.18       1.000          31.8
 50       5.4370e+03     9.6448e-02        17.81       1.000          32.3
 51       4.0807e+03     9.4188e-02        13.45       1.000          32.9
 52       3.0627e+03     9.3012e-02        10.02       1.000          33.5
 53       2.2987e+03     9.2405e-02         7.32       1.000          34.0
 54       1.7253e+03     9.2191e-02         5.25       1.000          34.6
 55       1.2949e+03     9.2185e-02         3.66       1.000          35.1
 56       9.7186e+02     9.2325e-02         2.46       1.000          35.7
 57       7.2942e+02     9.2553e-02         1.52       1.000          36.2
 58       5.4746e+02     9.2832e-02         0.77       1.000          36.8
 59       4.1089e+02     9.3091e-02        -0.05       1.000          37.3
 60       3.0839e+02     9.3467e-02        -0.45       1.000          37.9
 61       2.3146e+02     9.3864e-02        -0.85       1.000          38.4
 62       1.7372e+02     9.4285e-02        -1.15       1.000          38.9
 63       1.3038e+02     9.4737e-02        -1.37       1.000          39.5
 64       9.7859e+01     9.5197e-02        -1.70       1.000          40.1
 65       7.3447e+01     9.5708e-02        -1.89       1.000          40.8
 66       5.4991e+01     9.6241e-02        -2.03       1.000          42.3
 67       4.0675e+01     9.6817e-02        -2.27       1.000          44.2
 68       2.9692e+01     9.7432e-02        -2.64       1.000          45.7
 69       2.1366e+01     9.8126e-02        -3.05       1.000          47.4
 70       1.5137e+01     9.8976e-02        -3.63       1.000          49.4
 71       1.0545e+01     1.0004e-01        -4.49       1.000          51.7
 72       7.2118e+00     1.0154e-01        -5.88       1.000          54.6
 73       4.8357e+00     1.0403e-01        -7.15       1.000          58.2
 74       3.1743e+00     1.0801e-01        -9.08       1.000          62.8
 75       2.0373e+00     1.1463e-01       -10.81       1.000          69.0
 76       1.2772e+00     1.2410e-01       -12.09       1.000          78.8
 77       7.8169e-01     1.3559e-01       -11.58       1.000          91.8
 78       4.6733e-01     1.4622e-01        -9.84       1.000         111.6
 79       2.7337e-01     1.5433e-01        -7.60       1.000         138.1
 80       1.5697e-01     1.5932e-01        -5.79       1.000         177.0
 81       8.8914e-02     1.6305e-01        -4.85       1.000         228.5
 82       5.0000e-02     1.6632e-01        -4.59       1.000         292.9

