File.......:  varta nimh 2 at 1.307 50% discharged - MAR,21.2018

System.....:  Varta NiMH 2 at 1.307v
Potential..:  1.307V
Current....:  -13.695mA
Temperature:  -0.6 +-0.0 C
Time.......:  11:46:12 - 11:51:27
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   82
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2949e+03     9.7167e-02         4.02       1.000           0.0
   2      1.7253e+03     9.7209e-02         5.73       1.000           2.7
   3      2.2987e+03     9.7485e-02         7.94       1.000           3.3
   4      3.0627e+03     9.8218e-02        10.84       1.000           3.8
   5      4.0807e+03     9.9635e-02        14.51       1.000           4.4
   6      5.4370e+03     1.0234e-01        19.16       1.000           5.0
   7      7.2441e+03     1.0702e-01        24.85       1.000           5.5
   8      9.6518e+03     1.1480e-01        31.55       0.999           6.1
   9      1.2860e+04     1.2725e-01        38.83       1.000           6.6
  10      1.7134e+04     1.4633e-01        46.28       1.000           7.2
  11      2.2829e+04     1.7416e-01        53.24       0.999           7.8
  12      3.0417e+04     2.1346e-01        59.36       0.999           8.3
  13      4.0526e+04     2.6640e-01        64.33       1.000           8.8
  14      5.3996e+04     3.3742e-01        68.47       1.000           9.4
  15      7.1943e+04     4.3197e-01        71.71       0.999           9.9
  16      9.5855e+04     5.5483e-01        74.32       1.000          10.5
  17      1.2771e+05     7.1768e-01        76.43       0.999          11.0
  18      1.7016e+05     9.3248e-01        79.21       1.000          12.0
  19      2.2672e+05     1.2147e+00        80.77       0.999          12.8
  20      3.0208e+05     1.5864e+00        82.38       0.999          13.4
  21      4.0248e+05     2.0769e+00        83.57       1.000          13.9
  22      5.3625e+05     2.7846e+00        83.82       0.998          14.7
  23      7.1449e+05     3.6507e+00        85.24       0.998          15.5
  24      9.5196e+05     4.9179e+00        85.72       0.998          16.0
  25      1.2684e+06     6.7547e+00        85.37       0.995          16.5
  26      1.6899e+06     8.2987e+00        90.27       0.995          17.3
  27      2.2516e+06     1.0974e+01        89.46       0.993          18.2
  28      3.0000e+06     1.5299e+01        87.35       0.992          18.7
  29      2.2516e+06     1.0944e+01        87.90       0.994          19.3
  30      1.6899e+06     9.4146e+00        85.22       0.997          20.1
  31      1.2684e+06     6.7395e+00        85.35       0.997          20.9
  32      9.5196e+05     4.8782e+00        84.92       0.999          21.4
  33      7.1449e+05     3.6210e+00        84.67       0.998          21.9
  34      5.3625e+05     2.7501e+00        83.78       0.999          22.4
  35      4.0248e+05     2.0754e+00        83.31       0.999          23.2
  36      3.0208e+05     1.5908e+00        82.20       0.999          24.0
  37      2.2672e+05     1.2127e+00        80.82       0.999          24.6
  38      1.7016e+05     9.3097e-01        79.02       0.999          25.1
  39      1.2771e+05     7.1864e-01        77.24       1.000          25.7
  40      9.5855e+04     5.5634e-01        74.94       1.000          26.2
  41      7.1943e+04     4.3272e-01        72.23       1.000          26.8
  42      5.3996e+04     3.3805e-01        68.46       1.000          27.7
  43      4.0526e+04     2.6670e-01        64.39       0.999          28.6
  44      3.0417e+04     2.1344e-01        59.37       0.999          29.1
  45      2.2829e+04     1.7418e-01        53.25       0.999          29.7
  46      1.7134e+04     1.4632e-01        46.28       0.999          30.2
  47      1.2860e+04     1.2726e-01        38.85       0.999          30.8
  48      9.6518e+03     1.1478e-01        31.56       0.999          31.3
  49      7.2441e+03     1.0703e-01        24.86       0.999          31.9
  50      5.4370e+03     1.0233e-01        19.16       1.000          32.4
  51      4.0807e+03     9.9618e-02        14.50       1.000          33.0
  52      3.0627e+03     9.8198e-02        10.84       1.000          33.6
  53      2.2987e+03     9.7459e-02         7.94       1.000          34.1
  54      1.7253e+03     9.7170e-02         5.73       1.000          34.7
  55      1.2949e+03     9.7141e-02         4.02       1.000          35.2
  56      9.7186e+02     9.7279e-02         2.74       1.000          35.8
  57      7.2942e+02     9.7498e-02         1.72       1.000          36.3
  58      5.4746e+02     9.7790e-02         0.93       1.000          36.9
  59      4.1089e+02     9.8055e-02         0.06       1.000          37.4
  60      3.0839e+02     9.8467e-02        -0.37       1.000          38.0
  61      2.3146e+02     9.8870e-02        -0.79       1.000          38.5
  62      1.7372e+02     9.9321e-02        -1.10       1.000          39.0
  63      1.3038e+02     9.9822e-02        -1.31       1.000          39.6
  64      9.7859e+01     1.0029e-01        -1.66       1.000          40.2
  65      7.3447e+01     1.0086e-01        -1.85       1.000          40.9
  66      5.4991e+01     1.0141e-01        -1.96       1.000          42.4
  67      4.0675e+01     1.0205e-01        -2.18       1.000          44.3
  68      2.9692e+01     1.0271e-01        -2.50       1.000          45.8
  69      2.1366e+01     1.0346e-01        -2.88       1.000          47.5
  70      1.5137e+01     1.0436e-01        -3.42       1.000          49.5
  71      1.0545e+01     1.0552e-01        -4.16       1.000          51.8
  72      7.2118e+00     1.0711e-01        -5.40       1.000          54.7
  73      4.8357e+00     1.0987e-01        -6.37       1.000          58.2
  74      3.1743e+00     1.1395e-01        -7.77       1.000          62.9
  75      2.0373e+00     1.2023e-01        -8.64       1.000          69.1
  76      1.2772e+00     1.2782e-01        -8.94       1.000          78.8
  77      7.8169e-01     1.3584e-01        -7.88       1.000          91.9
  78      4.6733e-01     1.4207e-01        -6.43       1.000         111.7
  79      2.7337e-01     1.4628e-01        -4.94       1.000         138.2
  80      1.5697e-01     1.4930e-01        -4.11       1.000         177.1
  81      8.8914e-02     1.5170e-01        -3.62       1.000         228.6
  82      5.0000e-02     1.5404e-01        -3.60       0.999         293.0

