File.......:  varta nimh 4 at 1.307v 50% discharged - MAR,22.2018

System.....:  Varta NiMH 4 at 1.307v
Potential..:  1.307V
Current....:  -17.426mA
Temperature:  -0.6 +-0.0 C
Time.......:  09:50:55 - 09:56:11
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   82
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2949e+03     9.5792e-02         3.77       1.000           0.0
   2      1.7253e+03     9.5794e-02         5.41       1.000           2.7
   3      2.2987e+03     9.6026e-02         7.52       1.000           3.3
   4      3.0627e+03     9.6672e-02        10.30       1.000           3.8
   5      4.0807e+03     9.7933e-02        13.79       0.999           4.4
   6      5.4370e+03     1.0039e-01        18.25       1.000           5.0
   7      7.2441e+03     1.0465e-01        23.73       0.999           5.5
   8      9.6518e+03     1.1172e-01        30.19       1.000           6.1
   9      1.2860e+04     1.2307e-01        37.30       0.999           6.6
  10      1.7134e+04     1.4042e-01        44.65       1.000           7.2
  11      2.2829e+04     1.6589e-01        51.65       0.999           7.8
  12      3.0417e+04     2.0198e-01        57.88       0.999           8.3
  13      4.0526e+04     2.5075e-01        63.05       1.000           8.8
  14      5.3996e+04     3.1662e-01        67.24       1.000           9.4
  15      7.1943e+04     4.0336e-01        70.61       1.000           9.9
  16      9.5855e+04     5.1764e-01        73.39       1.000          10.5
  17      1.2771e+05     6.6795e-01        75.34       0.999          11.0
  18      1.7016e+05     8.6522e-01        78.39       1.000          12.0
  19      2.2672e+05     1.1244e+00        80.24       0.999          12.8
  20      3.0208e+05     1.4681e+00        81.44       0.999          13.4
  21      4.0248e+05     1.9135e+00        82.91       0.999          13.9
  22      5.3625e+05     2.5683e+00        83.77       0.998          14.7
  23      7.1449e+05     3.3531e+00        84.23       0.999          15.5
  24      9.5196e+05     4.4500e+00        85.61       0.998          16.0
  25      1.2684e+06     6.1591e+00        84.91       0.996          16.5
  26      1.6899e+06     7.9021e+00        88.21       0.994          17.3
  27      2.2516e+06     1.0078e+01        88.45       0.993          18.2
  28      3.0000e+06     1.4262e+01        91.37       0.991          18.7
  29      2.2516e+06     1.0696e+01        88.13       0.995          19.3
  30      1.6899e+06     8.6377e+00        85.29       0.994          20.1
  31      1.2684e+06     6.1883e+00        85.93       0.999          20.9
  32      9.5196e+05     4.5145e+00        85.65       0.999          21.4
  33      7.1449e+05     3.3744e+00        84.09       0.998          21.9
  34      5.3625e+05     2.5687e+00        83.70       0.999          22.4
  35      4.0248e+05     1.9292e+00        83.01       0.997          23.2
  36      3.0208e+05     1.4722e+00        81.64       0.999          24.0
  37      2.2672e+05     1.1233e+00        80.25       0.999          24.6
  38      1.7016e+05     8.6565e-01        78.46       0.999          25.1
  39      1.2771e+05     6.6697e-01        76.36       0.999          25.7
  40      9.5855e+04     5.1732e-01        74.06       0.999          26.2
  41      7.1943e+04     4.0407e-01        71.16       1.000          26.8
  42      5.3996e+04     3.1654e-01        67.28       0.999          27.7
  43      4.0526e+04     2.5088e-01        63.07       1.000          28.6
  44      3.0417e+04     2.0186e-01        57.94       0.999          29.1
  45      2.2829e+04     1.6573e-01        51.70       0.999          29.7
  46      1.7134e+04     1.4026e-01        44.69       0.999          30.2
  47      1.2860e+04     1.2285e-01        37.37       1.000          30.8
  48      9.6518e+03     1.1150e-01        30.26       1.000          31.3
  49      7.2441e+03     1.0442e-01        23.78       0.999          31.9
  50      5.4370e+03     1.0015e-01        18.29       1.000          32.4
  51      4.0807e+03     9.7672e-02        13.83       1.000          33.0
  52      3.0627e+03     9.6389e-02        10.33       1.000          33.6
  53      2.2987e+03     9.5728e-02         7.54       1.000          34.1
  54      1.7253e+03     9.5475e-02         5.43       1.000          34.7
  55      1.2949e+03     9.5474e-02         3.77       1.000          35.2
  56      9.7186e+02     9.5620e-02         2.55       1.000          35.8
  57      7.2942e+02     9.5848e-02         1.57       1.000          36.3
  58      5.4746e+02     9.6146e-02         0.80       1.000          36.9
  59      4.1089e+02     9.6406e-02        -0.07       1.000          37.4
  60      3.0839e+02     9.6825e-02        -0.49       1.000          38.0
  61      2.3146e+02     9.7259e-02        -0.90       1.000          38.5
  62      1.7372e+02     9.7697e-02        -1.22       1.000          39.0
  63      1.3038e+02     9.8226e-02        -1.44       1.000          39.6
  64      9.7859e+01     9.8698e-02        -1.78       1.000          40.2
  65      7.3447e+01     9.9291e-02        -1.97       1.000          40.9
  66      5.4991e+01     9.9855e-02        -2.09       1.000          42.4
  67      4.0675e+01     1.0051e-01        -2.33       1.000          44.3
  68      2.9692e+01     1.0118e-01        -2.67       1.000          45.8
  69      2.1366e+01     1.0199e-01        -3.09       1.000          47.5
  70      1.5137e+01     1.0297e-01        -3.67       1.000          49.5
  71      1.0545e+01     1.0420e-01        -4.44       1.000          51.8
  72      7.2118e+00     1.0596e-01        -5.72       1.000          54.7
  73      4.8357e+00     1.0889e-01        -6.73       1.000          58.2
  74      3.1743e+00     1.1322e-01        -8.10       1.000          62.9
  75      2.0373e+00     1.1976e-01        -8.89       1.000          69.1
  76      1.2772e+00     1.2753e-01        -8.99       1.000          78.8
  77      7.8169e-01     1.3518e-01        -7.79       1.000          91.9
  78      4.6733e-01     1.4088e-01        -6.25       1.000         111.7
  79      2.7337e-01     1.4473e-01        -4.84       1.000         138.2
  80      1.5697e-01     1.4733e-01        -3.89       1.000         177.1
  81      8.8914e-02     1.4968e-01        -3.32       1.000         228.6
  82      5.0000e-02     1.5214e-01        -3.71       0.999         293.0

