File.......:  varta nimh 4 at 1.360v - MAR,22.2018

System.....:  Varta NiMH 4 at 1.360v
Potential..:  1.360V
Current....:  545.63uA
Temperature:  -0.6 +-0.0 C
Time.......:  09:19:52 - 09:25:08
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   82
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2949e+03     9.9394e-02         3.52       1.000           0.0
   2      1.7253e+03     9.9306e-02         5.07       1.000           3.1
   3      2.2987e+03     9.9436e-02         7.08       1.000           3.6
   4      3.0627e+03     9.9963e-02         9.70       1.000           4.2
   5      4.0807e+03     1.0108e-01        13.03       0.999           4.8
   6      5.4370e+03     1.0330e-01        17.27       1.000           5.3
   7      7.2441e+03     1.0724e-01        22.52       1.000           5.9
   8      9.6518e+03     1.1386e-01        28.77       1.000           6.4
   9      1.2860e+04     1.2452e-01        35.71       1.000           7.0
  10      1.7134e+04     1.4101e-01        42.98       1.000           7.5
  11      2.2829e+04     1.6524e-01        50.02       0.999           8.1
  12      3.0417e+04     1.9978e-01        56.35       0.999           8.6
  13      4.0526e+04     2.4694e-01        61.64       1.000           9.2
  14      5.3996e+04     3.1018e-01        66.04       1.000           9.7
  15      7.1943e+04     3.9356e-01        69.61       1.000          10.3
  16      9.5855e+04     5.0340e-01        72.57       0.999          10.8
  17      1.2771e+05     6.4760e-01        74.82       0.999          11.4
  18      1.7016e+05     8.3684e-01        77.76       0.999          12.3
  19      2.2672e+05     1.0882e+00        79.73       0.999          13.2
  20      3.0208e+05     1.4247e+00        80.96       0.999          13.7
  21      4.0248e+05     1.8581e+00        82.60       0.999          14.3
  22      5.3625e+05     2.4729e+00        83.16       0.998          15.1
  23      7.1449e+05     3.2359e+00        84.69       0.999          15.9
  24      9.5196e+05     4.2785e+00        85.15       0.998          16.3
  25      1.2684e+06     5.8949e+00        84.57       0.998          16.8
  26      1.6899e+06     7.5642e+00        89.05       0.996          17.7
  27      2.2516e+06     1.0108e+01        89.43       0.997          18.5
  28      3.0000e+06     1.3880e+01        90.59       0.997          19.0
  29      2.2516e+06     1.0071e+01        86.76       0.994          19.6
  30      1.6899e+06     8.1655e+00        84.64       0.997          20.5
  31      1.2684e+06     5.9434e+00        84.78       0.996          21.3
  32      9.5196e+05     4.3249e+00        84.69       0.999          21.8
  33      7.1449e+05     3.2270e+00        84.66       0.998          22.3
  34      5.3625e+05     2.4384e+00        83.26       0.999          22.8
  35      4.0248e+05     1.8556e+00        82.57       0.999          23.6
  36      3.0208e+05     1.4212e+00        81.22       0.999          24.4
  37      2.2672e+05     1.0860e+00        79.75       0.998          24.9
  38      1.7016e+05     8.3801e-01        77.90       0.999          25.5
  39      1.2771e+05     6.4777e-01        75.65       1.000          26.0
  40      9.5855e+04     5.0335e-01        73.32       0.999          26.6
  41      7.1943e+04     3.9299e-01        69.81       1.000          27.5
  42      5.3996e+04     3.0918e-01        66.29       1.000          28.4
  43      4.0526e+04     2.4584e-01        61.94       1.000          29.0
  44      3.0417e+04     1.9878e-01        56.71       0.999          29.5
  45      2.2829e+04     1.6408e-01        50.44       1.000          30.0
  46      1.7134e+04     1.3966e-01        43.46       0.999          30.6
  47      1.2860e+04     1.2301e-01        36.19       0.999          31.2
  48      9.6518e+03     1.1216e-01        29.22       0.999          31.7
  49      7.2441e+03     1.0540e-01        22.92       0.999          32.2
  50      5.4370e+03     1.0132e-01        17.61       1.000          32.8
  51      4.0807e+03     9.8945e-02        13.29       1.000          33.4
  52      3.0627e+03     9.7705e-02         9.91       1.000          33.9
  53      2.2987e+03     9.7063e-02         7.24       1.000          34.5
  54      1.7253e+03     9.6823e-02         5.19       1.000          35.0
  55      1.2949e+03     9.6800e-02         3.61       1.000          35.6
  56      9.7186e+02     9.6933e-02         2.42       1.000          36.1
  57      7.2942e+02     9.7140e-02         1.48       1.000          36.7
  58      5.4746e+02     9.7421e-02         0.74       1.000          37.2
  59      4.1089e+02     9.7672e-02        -0.10       1.000          37.8
  60      3.0839e+02     9.8063e-02        -0.50       1.000          38.3
  61      2.3146e+02     9.8453e-02        -0.91       1.000          38.9
  62      1.7372e+02     9.8894e-02        -1.21       1.000          39.4
  63      1.3038e+02     9.9412e-02        -1.43       1.000          40.0
  64      9.7859e+01     9.9865e-02        -1.78       1.000          40.6
  65      7.3447e+01     1.0044e-01        -1.97       1.000          41.2
  66      5.4991e+01     1.0097e-01        -2.09       1.000          42.7
  67      4.0675e+01     1.0154e-01        -2.34       1.000          44.6
  68      2.9692e+01     1.0222e-01        -2.69       1.000          46.2
  69      2.1366e+01     1.0296e-01        -3.10       1.000          47.9
  70      1.5137e+01     1.0384e-01        -3.67       1.000          49.8
  71      1.0545e+01     1.0504e-01        -4.48       1.000          52.2
  72      7.2118e+00     1.0670e-01        -5.76       1.000          55.0
  73      4.8357e+00     1.0948e-01        -6.83       1.000          58.6
  74      3.1743e+00     1.1376e-01        -8.32       1.000          63.2
  75      2.0373e+00     1.2029e-01        -9.29       1.000          69.5
  76      1.2772e+00     1.2844e-01        -9.52       1.000          79.2
  77      7.8169e-01     1.3660e-01        -8.40       1.000          92.3
  78      4.6733e-01     1.4301e-01        -6.76       1.000         112.0
  79      2.7337e-01     1.4719e-01        -5.18       1.000         138.5
  80      1.5697e-01     1.5006e-01        -4.28       1.000         177.4
  81      8.8914e-02     1.5244e-01        -3.90       1.000         229.0
  82      5.0000e-02     1.5544e-01        -4.19       1.000         293.4

